3.500000e-01	0.000000e+00	1.436335e+02
3.500000e-01	4.000000e-02	1.489428e+02
3.500000e-01	8.000000e-02	1.546619e+02
3.500000e-01	1.200000e-01	1.606607e+02
3.500000e-01	1.600000e-01	1.668237e+02
3.500000e-01	2.000000e-01	1.730213e+02
3.500000e-01	2.400000e-01	1.790478e+02
3.500000e-01	2.800000e-01	1.847489e+02
3.500000e-01	3.200000e-01	1.899573e+02
3.500000e-01	3.600000e-01	1.944908e+02
3.500000e-01	4.000000e-01	1.981121e+02
3.500000e-01	4.400000e-01	2.007107e+02
3.500000e-01	4.800000e-01	2.021632e+02
3.500000e-01	5.200000e-01	2.023912e+02
3.500000e-01	5.600000e-01	2.013874e+02
3.500000e-01	6.000000e-01	1.991508e+02
3.500000e-01	6.400000e-01	1.958230e+02
3.500000e-01	6.800000e-01	1.915574e+02
3.500000e-01	7.200000e-01	1.865213e+02
3.500000e-01	7.600000e-01	1.809108e+02
3.500000e-01	8.000000e-01	1.749289e+02
3.500000e-01	8.400000e-01	1.687532e+02
3.500000e-01	8.800000e-01	1.625460e+02
3.500000e-01	9.200000e-01	1.564827e+02
3.500000e-01	9.600000e-01	1.507036e+02
3.500000e-01	1.000000e+00	1.452999e+02
3.500000e-01	1.040000e+00	1.403446e+02
3.500000e-01	1.080000e+00	1.358607e+02
3.500000e-01	1.120000e+00	1.318682e+02
3.500000e-01	1.160000e+00	1.283937e+02
3.500000e-01	1.200000e+00	1.254194e+02
3.500000e-01	1.240000e+00	1.229202e+02
3.500000e-01	1.280000e+00	1.208623e+02
3.500000e-01	1.320000e+00	1.192100e+02
3.500000e-01	1.360000e+00	1.179155e+02
3.500000e-01	1.400000e+00	1.169258e+02
3.500000e-01	1.440000e+00	1.162430e+02
3.500000e-01	1.480000e+00	1.158520e+02
3.500000e-01	1.520000e+00	1.157373e+02
3.500000e-01	1.560000e+00	1.159101e+02
3.500000e-01	1.600000e+00	1.163828e+02
3.500000e-01	1.640000e+00	1.171736e+02
3.500000e-01	1.680000e+00	1.182991e+02
3.500000e-01	1.720000e+00	1.198033e+02
3.500000e-01	1.760000e+00	1.217313e+02
3.500000e-01	1.800000e+00	1.241152e+02
3.500000e-01	1.840000e+00	1.269995e+02
3.500000e-01	1.880000e+00	1.303920e+02
3.500000e-01	1.920000e+00	1.342947e+02
3.500000e-01	1.960000e+00	1.387225e+02
3.500000e-01	2.000000e+00	1.436335e+02
3.535000e-01	0.000000e+00	1.345332e+02
3.535000e-01	4.000000e-02	1.397822e+02
3.535000e-01	8.000000e-02	1.454390e+02
3.535000e-01	1.200000e-01	1.513734e+02
3.535000e-01	1.600000e-01	1.574732e+02
3.535000e-01	2.000000e-01	1.636082e+02
3.535000e-01	2.400000e-01	1.695779e+02
3.535000e-01	2.800000e-01	1.752227e+02
3.535000e-01	3.200000e-01	1.803768e+02
3.535000e-01	3.600000e-01	1.848295e+02
3.535000e-01	4.000000e-01	1.884214e+02
3.535000e-01	4.400000e-01	1.910023e+02
3.535000e-01	4.800000e-01	1.924513e+02
3.535000e-01	5.200000e-01	1.926903e+02
3.535000e-01	5.600000e-01	1.916770e+02
3.535000e-01	6.000000e-01	1.894801e+02
3.535000e-01	6.400000e-01	1.862038e+02
3.535000e-01	6.800000e-01	1.819993e+02
3.535000e-01	7.200000e-01	1.770324e+02
3.535000e-01	7.600000e-01	1.714962e+02
3.535000e-01	8.000000e-01	1.655689e+02
3.535000e-01	8.400000e-01	1.594696e+02
3.535000e-01	8.800000e-01	1.533356e+02
3.535000e-01	9.200000e-01	1.473457e+02
3.535000e-01	9.600000e-01	1.416389e+02
3.535000e-01	1.000000e+00	1.363090e+02
3.535000e-01	1.040000e+00	1.314245e+02
3.535000e-01	1.080000e+00	1.269885e+02
3.535000e-01	1.120000e+00	1.230419e+02
3.535000e-01	1.160000e+00	1.196043e+02
3.535000e-01	1.200000e+00	1.166617e+02
3.535000e-01	1.240000e+00	1.141876e+02
3.535000e-01	1.280000e+00	1.121473e+02
3.535000e-01	1.320000e+00	1.105067e+02
3.535000e-01	1.360000e+00	1.092278e+02
3.535000e-01	1.400000e+00	1.082634e+02
3.535000e-01	1.440000e+00	1.075774e+02
3.535000e-01	1.480000e+00	1.071776e+02
3.535000e-01	1.520000e+00	1.070492e+02
3.535000e-01	1.560000e+00	1.072045e+02
3.535000e-01	1.600000e+00	1.076561e+02
3.535000e-01	1.640000e+00	1.084213e+02
3.535000e-01	1.680000e+00	1.095359e+02
3.535000e-01	1.720000e+00	1.110332e+02
3.535000e-01	1.760000e+00	1.129243e+02
3.535000e-01	1.800000e+00	1.152682e+02
3.535000e-01	1.840000e+00	1.181080e+02
3.535000e-01	1.880000e+00	1.214516e+02
3.535000e-01	1.920000e+00	1.253040e+02
3.535000e-01	1.960000e+00	1.296777e+02
3.535000e-01	2.000000e+00	1.345332e+02
3.570000e-01	0.000000e+00	1.258633e+02
3.570000e-01	4.000000e-02	1.310529e+02
3.570000e-01	8.000000e-02	1.366473e+02
3.570000e-01	1.200000e-01	1.425181e+02
3.570000e-01	1.600000e-01	1.485548e+02
3.570000e-01	2.000000e-01	1.546280e+02
3.570000e-01	2.400000e-01	1.605411e+02
3.570000e-01	2.800000e-01	1.661114e+02
3.570000e-01	3.200000e-01	1.711886e+02
3.570000e-01	3.600000e-01	1.756013e+02
